"identifier","setSpec","id","repository"
"oai:edshare.soton.ac.uk:488","6469766973696F6E733D756F732D66616337:756F732D6670","55175","16"
"oai:edshare.soton.ac.uk:488","74797065733D7265736F75726365","55176","16"
"oai:edshare.soton.ac.uk:489","6469766973696F6E733D756F732D66616337:756F732D6670","55177","16"
"oai:edshare.soton.ac.uk:489","74797065733D7265736F75726365","55178","16"
"oai:edshare.soton.ac.uk:490","6469766973696F6E733D756F732D66616337:756F732D6670","55179","16"
"oai:edshare.soton.ac.uk:490","74797065733D7265736F75726365","55180","16"
"oai:edshare.soton.ac.uk:491","6469766973696F6E733D756F732D66616337:756F732D6670","55181","16"
"oai:edshare.soton.ac.uk:491","74797065733D7265736F75726365","55182","16"
"oai:edshare.soton.ac.uk:492","6469766973696F6E733D756F732D66616337:756F732D6670","55183","16"
"oai:edshare.soton.ac.uk:492","74797065733D7265736F75726365","55184","16"
"oai:edshare.soton.ac.uk:493","6469766973696F6E733D756F732D66616337:756F732D6670","55185","16"
"oai:edshare.soton.ac.uk:493","74797065733D7265736F75726365","55186","16"
"oai:edshare.soton.ac.uk:494","6469766973696F6E733D756F732D66616337:756F732D6670","55187","16"
"oai:edshare.soton.ac.uk:494","74797065733D7265736F75726365","55188","16"
"oai:edshare.soton.ac.uk:495","6469766973696F6E733D756F732D66616337:756F732D6670","55189","16"
"oai:edshare.soton.ac.uk:495","74797065733D7265736F75726365","55190","16"
"oai:edshare.soton.ac.uk:496","6469766973696F6E733D756F732D66616337:756F732D6670","55191","16"
"oai:edshare.soton.ac.uk:496","74797065733D7265736F75726365","55192","16"
"oai:edshare.soton.ac.uk:498","6469766973696F6E733D756F732D66616337:756F732D6670","55193","16"
"oai:edshare.soton.ac.uk:498","74797065733D7265736F75726365","55194","16"
"oai:edshare.soton.ac.uk:499","6469766973696F6E733D756F732D66616337:756F732D6670","55195","16"
"oai:edshare.soton.ac.uk:499","74797065733D7265736F75726365","55196","16"
"oai:edshare.soton.ac.uk:502","6469766973696F6E733D756F732D66616337:756F732D6670","55197","16"
"oai:edshare.soton.ac.uk:502","74797065733D7265736F75726365","55198","16"
